smiles,neg_log_ic50,chembl_id,set
C#Cc1cccc(Nc2ncnc3ccc(OCCCCCC(=O)NO)cc23)c1,7.0,CHEMBL3912598,train
C#Cc1cccc(Nc2ncnc3ccc(OCCCCCCC(=O)NO)cc23)c1,7.0,CHEMBL3975990,train
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,7.755194748972694,CHEMBL517907,valid
C#Cc1cccc(Nc2ncnc3ccc(OCCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,7.958607314841775,CHEMBL4091626,train
C#Cc1cccc(Nc2ncnc3ccc(OCCCOP(N)(=O)N(CCCl)CCCl)cc23)c1,8.142667503568731,CHEMBL4079768,train
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,7.107905397309519,CHEMBL3218000,train
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,5.920818753952375,CHEMBL3218002,train
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,5.886056647693163,CHEMBL3218001,train
C#Cc1cccc(Nc2ncnc3nc(Nc4ccc(CN5CCOCC5)cc4)sc23)c1,7.366531544420414,CHEMBL470391,train
C#Cc1cccc(Nc2ncnc3sc(-c4ccc(CO)cc4OC)cc23)c1,8.301029995663981,CHEMBL3758802,train
C#Cc1cccc(Nc2ncnc3sc(-c4ccccc4OC)cc23)c1,7.7447274948966935,CHEMBL3416626,train
C#Cc1cccc(Nc2ncnc3sc(Br)cc23)c1,7.638272163982407,CHEMBL3416439,train
C#Cc1cccc(Nc2ncnc3sc(C(=O)c4cc5ccccc5[nH]4)cc23)c1,7.7281583934635005,CHEMBL1928293,train
